NAME	Name	freq	 cum_freq	rank
MACK	Mack	0.025	82.645	415
LEVI	Levi	0.025	82.67	416
MARCOS	Marcos	0.025	82.695	417
GUSTAVO	Gustavo	0.025	82.72	418
JAKE	Jake	0.025	82.744	419
LIONEL	Lionel	0.024	82.769	420
MARTY	Marty	0.024	82.793	421
TAYLOR	Taylor	0.024	82.817	422
ELLIS	Ellis	0.024	82.842	423
DALLAS	Dallas	0.024	82.866	424
GILBERTO	Gilberto	0.024	82.89	425
CLINT	Clint	0.024	82.914	426
NICOLAS	Nicolas	0.024	82.938	427
LAURENCE	Laurence	0.024	82.962	428
ISMAEL	Ismael	0.024	82.985	429
ORVILLE	Orville	0.024	83.009	430
DREW	Drew	0.024	83.033	431
JODY	Jody	0.024	83.056	432
ERVIN	Ervin	0.023	83.08	433
DEWEY	Dewey	0.023	83.103	434
AL	Al	0.023	83.126	435
WILFRED	Wilfred	0.023	83.15	436
JOSH	Josh	0.023	83.173	437
HUGO	Hugo	0.023	83.196	438
IGNACIO	Ignacio	0.023	83.219	439
CALEB	Caleb	0.023	83.241	440
TOMAS	Tomas	0.023	83.264	441
SHELDON	Sheldon	0.023	83.287	442
ERICK	Erick	0.023	83.31	443
FRANKIE	Frankie	0.023	83.332	444
STEWART	Stewart	0.022	83.354	445
DOYLE	Doyle	0.022	83.377	446
DARREL	Darrel	0.022	83.399	447
ROGELIO	Rogelio	0.022	83.421	448
TERENCE	Terence	0.022	83.443	449
SANTIAGO	Santiago	0.022	83.465	450
ALONZO	Alonzo	0.022	83.487	451
ELIAS	Elias	0.022	83.508	452
BERT	Bert	0.022	83.53	453
ELBERT	Elbert	0.022	83.552	454
RAMIRO	Ramiro	0.022	83.573	455
CONRAD	Conrad	0.022	83.595	456
PAT	Pat	0.022	83.616	457
NOAH	Noah	0.022	83.638	458
GRADY	Grady	0.021	83.659	459
PHIL	Phil	0.021	83.681	460
CORNELIUS	Cornelius	0.021	83.702	461
LAMAR	Lamar	0.021	83.723	462
ROLANDO	Rolando	0.021	83.744	463
CLAY	Clay	0.021	83.765	464
PERCY	Percy	0.021	83.786	465
DEXTER	Dexter	0.021	83.806	466
BRADFORD	Bradford	0.021	83.827	467
MERLE	Merle	0.021	83.848	468
DARIN	Darin	0.02	83.868	469
AMOS	Amos	0.02	83.888	470
TERRELL	Terrell	0.02	83.909	471
MOSES	Moses	0.02	83.929	472
IRVIN	Irvin	0.02	83.949	473
SAUL	Saul	0.02	83.968	474
ROMAN	Roman	0.02	83.988	475
DARNELL	Darnell	0.02	84.008	476
RANDAL	Randal	0.02	84.027	477
TOMMIE	Tommie	0.02	84.047	478
TIMMY	Timmy	0.019	84.066	479
DARRIN	Darrin	0.019	84.086	480
WINSTON	Winston	0.019	84.105	481
BRENDAN	Brendan	0.019	84.124	482
TOBY	Toby	0.019	84.144	483
VAN	Van	0.019	84.163	484
ABEL	Abel	0.019	84.182	485
DOMINICK	Dominick	0.019	84.201	486
BOYD	Boyd	0.019	84.22	487
COURTNEY	Courtney	0.019	84.24	488
JAN	Jan	0.019	84.259	489
EMILIO	Emilio	0.019	84.277	490
ELIJAH	Elijah	0.019	84.296	491
CARY	Cary	0.019	84.315	492
DOMINGO	Domingo	0.019	84.334	493
SANTOS	Santos	0.019	84.353	494
AUBREY	Aubrey	0.019	84.372	495
EMMETT	Emmett	0.019	84.39	496
