Occupation,occupation,Total_employed,Women,Black,Asian,Hispanic_latino
"Miscellaneous healthcare support occupations, including medical equipment preparers","miscellaneous healthcare support occupations, including medical equipment preparers",170,69.6,25.1,4.1,8.5
Protective service occupations,protective service occupations,3109,21.3,19.2,2.4,13.9
First-line supervisors of correctional officers,first-line supervisors of correctional officers,52,31.4,24.7,2.7,6.3
First-line supervisors of police and detectives,first-line supervisors of police and detectives,110,12.8,14,1.3,6.6
First-line supervisors of fire fighting and prevention workers,first-line supervisors of fire fighting and prevention workers,49,-,-,-,-
"First-line supervisors of protective service workers, all other","first-line supervisors of protective service workers, all other",81,23.2,14.7,2,10.5
Firefighters,firefighters,293,5.9,8.4,1.1,7.8
Fire inspectors,fire inspectors,19,-,-,-,-
"Bailiffs, correctional officers, and jailers","bailiffs, correctional officers, and jailers",443,23.8,26,1.2,11.8
Detectives and criminal investigators,detectives and criminal investigators,144,27.2,8.5,0.8,11.9
Fish and game wardens,fish and game wardens,6,-,-,-,-
Parking enforcement workers,parking enforcement workers,10,-,-,-,-
Police and sheriff's patrol officers,police and sheriff's patrol officers,688,13.6,13.5,2,15.5
Transit and railroad police,transit and railroad police,1,-,-,-,-
Animal control workers,animal control workers,5,-,-,-,-
Private detectives and investigators,private detectives and investigators,100,38.4,12.7,5,14.6
Security guards and gaming surveillance officers,security guards and gaming surveillance officers,869,22,28.8,4,18.6
Crossing guards,crossing guards,57,59.8,33.2,3.1,17.3
Transportation security screeners,transportation security screeners,38,-,-,-,-
"Lifeguards and other recreational, and all other protective service workers","lifeguards and other recreational, and all other protective service workers",144,43.7,9.1,1.5,12.6
Food preparation and serving related occupations,food preparation and serving related occupations,8142,54.5,13.8,6.1,25.3
Chefs and head cooks,chefs and head cooks,415,19.6,15.2,16.8,19.3
First-line supervisors of food preparation and serving workers,first-line supervisors of food preparation and serving workers,527,57.4,14.9,3.8,16.5
Cooks,cooks,2091,39.9,18.5,5.3,35.7
Food preparation workers,food preparation workers,858,59.1,15.1,5.6,27.4
Bartenders,bartenders,451,59.8,4.4,3.3,13.2
"Combined food preparation and serving workers, including fast food","combined food preparation and serving workers, including fast food",420,63.4,21.6,3.7,17.3
"Counter attendants, cafeteria, food concession, and coffee shop","counter attendants, cafeteria, food concession, and coffee shop",233,66.7,10.7,6.2,18.2
Waiters and waitresses,waiters and waitresses,2057,70.1,8.2,6.9,21.1
"Food servers, nonrestaurant","food servers, nonrestaurant",190,70.9,20.6,8.7,19.4
Dining room and cafeteria attendants and bartender helpers,dining room and cafeteria attendants and bartender helpers,321,44.2,13.9,6.1,29.1
Dishwashers,dishwashers,281,21.3,14.7,5.1,39.7
"Hosts and hostesses, restaurant, lounge, and coffee shop","hosts and hostesses, restaurant, lounge, and coffee shop",293,82.1,11.2,3.6,19.2
"Food preparation and serving related workers, all other","food preparation and serving related workers, all other",5,-,-,-,-
Building and grounds cleaning and maintenance occupations,building and grounds cleaning and maintenance occupations,5716,41.1,14.5,2.9,38
First-line supervisors of housekeeping and janitorial workers,first-line supervisors of housekeeping and janitorial workers,293,40.6,19.7,2.4,20.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","first-line supervisors of landscaping, lawn service, and groundskeeping workers",215,6.6,4,2,23.6
Janitors and building cleaners,janitors and building cleaners,2263,34.3,17.6,3.4,31.4
Maids and housekeeping cleaners,maids and housekeeping cleaners,1510,89.3,16.1,4.4,48.9
Pest control workers,pest control workers,85,4.7,13,1.3,14
Grounds maintenance workers,grounds maintenance workers,1349,6.4,7.9,0.9,44.5
Personal care and service occupations,personal care and service occupations,5415,76.8,15.6,8.5,15.5
First-line supervisors of gaming workers,first-line supervisors of gaming workers,168,46.6,4.8,5.1,8.7
First-line supervisors of personal service workers,first-line supervisors of personal service workers,185,71,11.9,16.2,8.9
Animal trainers,animal trainers,54,50.9,1.2,0,11.5
Nonfarm animal caretakers,nonfarm animal caretakers,252,67.9,5.4,1.8,13
Gaming services workers,gaming services workers,89,52.2,8,22,8.2
Motion picture projectionists,motion picture projectionists,6,-,-,-,-
"Ushers, lobby attendants, and ticket takers","ushers, lobby attendants, and ticket takers",44,-,-,-,-
Miscellaneous entertainment attendants and related workers,miscellaneous entertainment attendants and related workers,221,39.2,12.8,2.1,15.7
Embalmers and funeral attendants,embalmers and funeral attendants,9,-,-,-,-
"Morticians, undertakers, and funeral directors","morticians, undertakers, and funeral directors",35,-,-,-,-
Barbers,barbers,116,22.1,40.7,6.4,20.7
"Hairdressers, hairstylists, and cosmetologists","hairdressers, hairstylists, and cosmetologists",707,94.2,12.3,3.9,15.3
Miscellaneous personal appearance workers,miscellaneous personal appearance workers,324,85.3,7,56.5,8.5
"Baggage porters, bellhops, and concierges","baggage porters, bellhops, and concierges",76,16.1,21,10.5,32.9
Tour and travel guides,tour and travel guides,54,54.3,3.4,10.1,5.3
Childcare workers,childcare workers,1206,94.9,15.3,3.3,19.1
Personal care aides,personal care aides,1251,85.1,24.2,8.1,17.9
Recreation and fitness workers,recreation and fitness workers,429,61.6,10.7,2.1,10.4
Residential advisors,residential advisors,38,-,-,-,-
"Personal care and service workers, all other","personal care and service workers, all other",149,49.8,15.6,4.9,20.8
,,,,,,
Sales and office occupations,sales and office occupations,33598,61.5,12.3,5.2,15.3
Sales and related occupations,sales and related occupations,15700,49.3,10.6,5.7,15
First-line supervisors of retail sales workers,first-line supervisors of retail sales workers,3245,44,9.5,6.1,13
First-line supervisors of non-retail sales workers,first-line supervisors of non-retail sales workers,1242,28.7,6.2,5.9,12.8
Cashiers,cashiers,3246,72.5,17.4,6.8,20.6
Counter and rental clerks,counter and rental clerks,109,50.9,12.2,2.9,18.8
Parts salespersons,parts salespersons,124,12.4,5,1.5,18.1
Retail salespersons,retail salespersons,3346,49.4,12.8,6.3,17.3
Advertising sales agents,advertising sales agents,200,49.7,9.4,4.8,11.3
Insurance sales agents,insurance sales agents,615,51.2,7.3,3.5,12.7
"Securities, commodities, and financial services sales agents","securities, commodities, and financial services sales agents",258,26.2,4.8,5.8,7
Travel agents,travel agents,89,75.9,3.3,17.7,8.7
"Sales representatives, services, all other","sales representatives, services, all other",479,34.8,5.7,2.8,13.3
"Sales representatives, wholesale and manufacturing","sales representatives, wholesale and manufacturing",1281,27.9,4,3.3,10
"Models, demonstrators, and product promoters","models, demonstrators, and product promoters",68,70.7,5.6,6.5,15.1
Real estate brokers and sales agents,real estate brokers and sales agents,906,55.5,5.7,4.9,9.4
Sales engineers,sales engineers,42,-,-,-,-
Telemarketers,telemarketers,60,64.3,25.9,2.2,27.3
"Door-to-door sales workers, news and street vendors, and related workers","door-to-door sales workers, news and street vendors, and related workers",156,67,10.5,2.5,21.7
"Sales and related workers, all other","sales and related workers, all other",236,46.8,6.5,3.9,10.6
Office and administrative support occupations,office and administrative support occupations,17897,72.2,13.9,4.7,15.6
